Movie Name,Genre,Ratings,Voting Counts,Duration
100,Action,,,68.0
100 Days Love Story,Action,6.6,2200.0,119.0
2DIE4,Action,6.9,199.0,61.0
36 Ko Aakada,Action,,,
7 Dogs,Action,5.6,4900.0,125.0
A Day Without Mike Sea,Action,,,61.0
A Film by Cool Jake,Action,,,80.0
A Knife of the Weapon Gleams with Blood,Action,,,95.0
A Land Apart,Action,,,
A Malevolent World,Action,,,70.0
A Mike Forever,Action,,,65.0
A Mike Joshua Plays,Action,,,60.0
A Storm of Syndicates,Action,,,
A Woman of Steel,Action,,,
ATHOS Au coeur de la Patrouille de France,Action,7.3,45.0,86.0
Aadu 3,Action,6.2,2000.0,168.0
Above and Below,Action,4.7,368.0,96.0
Ace Female Bodyguard,Action,,,77.0
Achilles Returns,Action,5.2,1600.0,50.0
Addicted to Change,Action,5.2,52.0,86.0
Aftermath,Action,2.6,6.0,80.0
Against All Odds,Action,,,
Against all odds,Action,,,
Agito Chônôryoku Sensô,Action,6.4,33.0,97.0
Agni Jaya,Action,,,120.0
Agnibaan,Action,5.4,21.0,170.0
Ah Beng vs Liang Po Po,Action,6.0,83.0,125.0
Ain't One of Them,Action,,,
Alien Disclosure Day,Action,4.6,43.0,84.0
Alpha,Action,3.0,24000.0,141.0
Alpha: Men Love Vengeance,Action,7.5,384.0,144.0
Amityville Rex,Action,3.0,61.0,69.0
Anakapalli,Action,,,154.0
Ananthan Kaadu,Action,7.3,80.0,157.0
Anecdote of Mountains,Action,6.7,62.0,73.0
Angels of War,Action,5.1,125.0,110.0
Annihilator Unleashed,Action,3.9,2200.0,119.0
Anomie,Action,6.8,1500.0,135.0
Anschlag aus dem Schwitzerreich,Action,8.5,6.0,118.0
Apex,Action,6.1,107000.0,95.0
Arhat Rock of War,Action,,,98.0
Asad,Action,7.4,1100.0,120.0
Asesinos,Action,,,90.0
Athiradi,Action,6.8,3100.0,157.0
Atlas King,Action,3.8,183.0,90.0
Attack of the Kraken,Action,4.5,16.0,
Authentic Games: No Império Desconectado,Action,5.0,140.0,70.0
Avatar Aang: The Last Airbender,Action,7.8,24000.0,99.0
Awarapan 2,Action,6.6,12000.0,140.0
B.M.Ts Plan B 2,Action,,,67.0
Baaaz in State,Action,,,169.0
