Movie Name,Genre,Ratings,Voting Counts,Duration
The Odyssey,Action,8.5,453000.0,172.0
Spider-Man: Brand New Day,Action,8.0,268000.0,145.0
The End of Oak Street,Action,6.6,31000.0,99.0
Mutiny,Action,5.7,11000.0,95.0
The Last House,Action,5.5,50000.0,112.0
Facing El Chapo,Action,6.7,3600.0,91.0
Masters of the Universe,Action,6.4,114000.0,140.0
The Dog Stars,Action,6.5,2000.0,118.0
Disclosure Day,Action,6.4,146000.0,145.0
Toxic,Action,3.7,10000.0,192.0
In the Grey,Action,6.3,38000.0,98.0
Avatar Aang: The Last Airbender,Action,7.8,24000.0,99.0
Awarapan 2,Action,6.6,12000.0,140.0
The Death of Robin Hood,Action,6.0,16000.0,122.0
Supergirl,Action,5.8,86000.0,108.0
Shelter,Action,6.1,46000.0,107.0
Colony,Action,6.5,12000.0,122.0
Mortal Kombat II,Action,6.3,86000.0,116.0
PAW Patrol: The Dino Movie,Action,6.2,1700.0,88.0
Young Washington,Action,6.9,12000.0,121.0
Star Wars: The Mandalorian and Grogu,Action,6.8,93000.0,132.0
Khalifa,Action,6.8,7800.0,159.0
Apex,Action,6.1,107000.0,95.0
The Rip,Action,6.8,144000.0,113.0
War Machine,Action,6.3,116000.0,106.0
Over Your Dead Body,Action,6.3,32000.0,105.0
Irumudi,Action,7.5,1400.0,160.0
Hope,Action,6.9,1200.0,160.0
Atlas King,Action,3.8,183.0,90.0
Moana,Action,5.8,14000.0,115.0
Lucky Strike,Action,5.3,2100.0,103.0
Deep Water,Action,5.4,11000.0,106.0
Citizen Vigilante,Action,5.8,37000.0,89.0
They Will Kill You,Action,6.3,50000.0,94.0
Enola Holmes 3,Action,5.7,30000.0,105.0
Welcome to the Jungle,Action,4.1,22000.0,165.0
Mercy,Action,6.2,80000.0,99.0
DC,Action,8.3,5000.0,141.0
GOAT,Action,6.6,30000.0,100.0
Tom Clancy's Jack Ryan: Ghost War,Action,5.7,32000.0,105.0
Dhamaal 4,Action,8.1,36000.0,143.0
Hot Spot,Action,4.7,234.0,101.0
One Mile: Chapter One,Action,5.7,3800.0,89.0
The Wrecking Crew,Action,6.4,54000.0,124.0
Master of the Universe,Action,2.8,1500.0,81.0
Rise of the Footsoldier: Retribution,Action,5.5,153.0,112.0
Greenland 2: Migration,Action,5.2,47000.0,98.0
Batwara 1947,Action,4.3,1800.0,160.0
Ghost in the Cell,Action,6.9,2100.0,106.0
Never Stop Chasing,Action,7.7,60.0,102.0
Legend of the White Dragon,Action,,,97.0
Dhurandhar: The Revenge,Action,8.2,71000.0,235.0
Mike & Nick & Nick & Alice,Action,6.2,26000.0,107.0
The Isolate Thief,Action,5.7,1000.0,95.0
Bear Country,Action,5.6,2700.0,111.0
The Weight,Action,7.3,226.0,115.0
Beast,Action,5.8,3900.0,114.0
Forgotten Island,Action,6.8,166.0,109.0
Stop! That! Train!,Action,5.8,3200.0,90.0
Seven Snipers,Action,4.4,3000.0,87.0
Jana Nayagan,Action,5.3,5800.0,183.0
Beast Race,Action,4.7,1200.0,124.0
Balls Up,Action,4.7,15000.0,104.0
Lenin,Action,6.2,1600.0,159.0
Batman: Knightfall - Part 1: Knightfall,Action,8.0,2500.0,78.0
Pretty Lethal,Action,5.8,16000.0,88.0
Man of War,Action,5.2,1300.0,111.0
Maa Inti Bangaram,Action,7.4,7300.0,154.0
7 Dogs,Action,5.6,4900.0,125.0
One Mile: Chapter Two,Action,5.0,2600.0,83.0
Blades of the Guardians,Action,6.8,3900.0,126.0
The Gentleman Thief,Action,3.5,550.0,97.0
Dial 1975,Action,5.2,67.0,
The Debt Collector,Action,5.6,1300.0,132.0
Blast,Action,7.3,17000.0,142.0
Shera,Action,6.4,138.0,145.0
The Bluff,Action,5.8,19000.0,103.0
Peddi,Action,5.2,9000.0,182.0
Gong fu nv zu,Action,5.7,815.0,106.0
Kraken,Action,5.0,5900.0,100.0
Alpha,Action,3.0,24000.0,141.0
Above and Below,Action,4.7,368.0,96.0
The Odyssey,Action,2.3,297.0,86.0
Rogue Trooper,Action,8.2,53.0,125.0
Rage of Stars,Action,4.1,518.0,98.0
Sniper: No Nation,Action,4.2,1200.0,95.0
Brothers Under Fire,Action,4.8,1800.0,101.0
Clash of the Thundermans,Action,8.9,55.0,
Kattalan,Action,7.0,2600.0,120.0
Brawl,Action,5.6,198.0,98.0
Killer Whale,Action,3.7,5700.0,89.0
Wings of Dread,Action,5.8,238.0,86.0
Water Park Shark,Action,3.5,436.0,91.0
Humint,Action,6.4,4000.0,119.0
Karuppu,Action,6.1,11000.0,150.0
Hanging by a Wire,Action,7.4,56.0,98.0
Nagabandham - The Secret Treasure,Action,6.7,5700.0,185.0
Border 2,Action,5.8,21000.0,200.0
Vampires of the Velvet Lounge,Action,4.2,428.0,105.0
The Last Temptation of Becky,Action,7.8,27.0,89.0
Raja Shivaji,Action,6.7,24000.0,195.0
Dacoit: A Love Story,Action,7.4,10000.0,149.0
O' Romeo,Action,5.2,24000.0,178.0
Oscar Shaw,Action,4.6,756.0,93.0
Husbands in Action,Action,6.2,2300.0,107.0
Revenge,Action,5.5,2100.0,103.0
Evel,Action,4.9,19.0,
Mexicali,Action,5.5,584.0,99.0
Detective Conan: Fallen Angel of the Highway,Action,6.2,454.0,109.0
The Internship,Action,4.1,1300.0,91.0
Zeta,Action,5.8,3900.0,133.0
The Ribbon Hero,Action,6.0,500.0,109.0
Anomie,Action,6.8,1500.0,135.0
D.I.S.C.O.,Action,6.5,4400.0,102.0
Kill Code,Action,4.0,3500.0,87.0
Ikkis,Action,6.1,27000.0,144.0
Shackled,Action,5.8,74.0,84.0
Rise of the Conqueror,Action,5.8,1900.0,119.0
Srinivasa Mangapuram,Action,3.8,141.0,150.0
Patriot,Action,6.2,2600.0,180.0
The Birthday Party,Action,6.0,93.0,114.0
Bad Day at the Office,Action,6.2,16.0,106.0
Per Aspera Ad Astra,Action,6.4,1300.0,111.0
