Movie Name,Genre,Ratings,Voting Counts,Duration
The Odyssey,Adventure,8.5,453000.0,172.0
Spider-Man: Brand New Day,Adventure,8.0,268000.0,145.0
The End of Oak Street,Adventure,6.6,31000.0,99.0
Project Hail Mary,Adventure,8.2,524000.0,156.0
Masters of the Universe,Adventure,6.4,114000.0,140.0
The Dog Stars,Adventure,6.5,2000.0,118.0
Toy Story 5,Adventure,7.4,74000.0,102.0
Coyote vs. Acme,Adventure,7.7,2300.0,101.0
Avatar Aang: The Last Airbender,Adventure,7.8,24000.0,99.0
Minions & Monsters,Adventure,6.4,28000.0,90.0
The Death of Robin Hood,Adventure,6.0,16000.0,122.0
Supergirl,Adventure,5.8,86000.0,108.0
Niu Lai,Adventure,6.5,1000.0,86.0
Colony,Adventure,6.5,12000.0,122.0
Mortal Kombat II,Adventure,6.3,86000.0,116.0
PAW Patrol: The Dino Movie,Adventure,6.2,1700.0,88.0
Young Washington,Adventure,6.9,12000.0,121.0
Star Wars: The Mandalorian and Grogu,Adventure,6.8,93000.0,132.0
Send Help,Adventure,6.7,151000.0,113.0
The Magic Faraway Tree,Adventure,6.3,5300.0,110.0
The Super Mario Galaxy Movie,Adventure,6.3,73000.0,98.0
Moana,Adventure,5.8,14000.0,115.0
Fall 2: Deadpoint,Adventure,7.7,80.0,97.0
Hoppers,Adventure,7.2,83000.0,104.0
Enola Holmes 3,Adventure,5.7,30000.0,105.0
Welcome to the Jungle,Adventure,4.1,22000.0,165.0
Dhamaal 4,Adventure,8.1,36000.0,143.0
La Fiera,Adventure,6.1,906.0,113.0
One Mile: Chapter One,Adventure,5.7,3800.0,89.0
Greenland 2: Migration,Adventure,5.2,47000.0,98.0
Swapped,Adventure,7.3,24000.0,98.0
Legend of the White Dragon,Adventure,,,97.0
I Love Boosters,Adventure,6.6,8300.0,113.0
The Weight,Adventure,7.3,226.0,115.0
Forgotten Island,Adventure,6.8,166.0,109.0
Beast Race,Adventure,4.7,1200.0,124.0
