Movie Name,Genre,Ratings,Voting Counts,Duration
Toy Story 5,Animation,7.4,74000.0,102.0
Coyote vs. Acme,Animation,7.7,2300.0,101.0
BLEACH: Thousand-Year Blood War - The Calamity,Animation,9.2,14000.0,80.0
Avatar Aang: The Last Airbender,Animation,7.8,24000.0,99.0
Minions & Monsters,Animation,6.4,28000.0,90.0
Niu Lai,Animation,6.5,1000.0,86.0
PAW Patrol: The Dino Movie,Animation,6.2,1700.0,88.0
The Super Mario Galaxy Movie,Animation,6.3,73000.0,98.0
Hoppers,Animation,7.2,83000.0,104.0
GOAT,Animation,6.6,30000.0,100.0
Swapped,Animation,7.3,24000.0,98.0
Forgotten Island,Animation,6.8,166.0,109.0
Batman: Knightfall - Part 1: Knightfall,Animation,8.0,2500.0,78.0
The AI Doc: Or How I Became an Apocaloptimist,Animation,6.8,1800.0,104.0
All Wishes Come True!,Animation,7.9,944.0,144.0
Rogue Trooper,Animation,8.2,53.0,125.0
Jim Queen,Animation,7.6,951.0,85.0
The Pout-Pout Fish,Animation,5.0,1100.0,92.0
Tangles,Animation,7.6,93.0,102.0
Eiga Chiikawa: Ningyo no Shima no Himitsu,Animation,7.4,460.0,99.0
"I, Object",Animation,7.2,24.0,92.0
Detective Conan: Fallen Angel of the Highway,Animation,6.2,454.0,109.0
Tad and the Magic Lamp,Animation,7.0,37.0,94.0
The Ribbon Hero,Animation,6.0,500.0,109.0
The Amazing Digital Circus: The Last Act,Animation,7.5,6200.0,95.0
That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,Animation,6.2,1100.0,105.0
Cosmic Princess Kaguya!,Animation,7.1,3200.0,143.0
A New Dawn,Animation,6.2,260.0,76.0
The Land of Sometimes,Animation,4.7,199.0,93.0
Doraemon: Nobita and the New Castle of the Undersea Devil,Animation,6.2,194.0,102.0
Le vertige,Animation,6.0,348.0,67.0
Puella Magi Madoka Magica the Movie -Walpurgisnacht Rising-,Animation,,,120.0
In Waves,Animation,7.4,305.0,90.0
Iron Boy,Animation,7.6,73.0,90.0
Evolution,Animation,5.3,182.0,94.0
Huanyíng lái dào duo lì zhi jia,Animation,,,85.0
Boonie Bears: The Hidden Protector,Animation,7.0,105.0,118.0
Mobile Suit Gundam Hathaway: The Sorcery of Nymph Circe,Animation,7.0,427.0,108.0
The Crystal Planet,Animation,7.3,28.0,97.0
The Violinist,Animation,7.7,17.0,114.0
Cherry and Virgin,Animation,8.7,19.0,86.0
The Dangers in My Heart,Animation,7.3,299.0,101.0
Gintama: Yoshiwara in Flames,Animation,8.7,378.0,124.0
Eiga Kureyon Shin-chan Kikikaikai! Ora no Yôkai Bake-shon,Animation,6.6,34.0,101.0
Arnie & Barney,Animation,8.0,76.0,75.0
Mahaprabhu Jagannath,Animation,,,109.0
Julián,Animation,7.1,21.0,85.0
Authentic Games: No Império Desconectado,Animation,5.0,140.0,70.0
Milky Subway: The Galactic Limited Express to the Theater,Animation,6.8,298.0,46.0
Iyanu: The War of Twin Princes,Animation,4.6,9.0,
March Forth,Animation,,,95.0
Bichos Raros 2,Animation,,,50.0
Copán: La leyenda,Animation,1.0,228.0,
Sprunki: The Movie,Animation,7.7,77.0,98.0
Return of the Jungle,Animation,8.4,2300.0,96.0
Lydia and the Mist Rider,Animation,6.6,168.0,80.0
Assassination Classroom the Movie: Our Time,Animation,6.5,153.0,86.0
Aquarium,Animation,9.3,67.0,93.0
Mumbo Jumbo,Animation,6.6,91.0,83.0
New Toy Story,Animation,1.9,49.0,78.0
Star Spangled Adventures: The Movie!,Animation,3.1,21.0,80.0
Three Kingdoms: The Beginning,Animation,7.4,121.0,137.0
Smeshariki. Skvoz vselennye,Animation,5.5,62.0,85.0
Monster Mia,Animation,8.0,23.0,81.0
A Super Progressive Movie,Animation,5.4,730.0,86.0
Cats in the Museum: Treasures of Egypt,Animation,5.4,47.0,90.0
Han ye deng zhu,Animation,6.5,77.0,90.0
Pinecone,Animation,4.3,852.0,67.0
We Are Aliens,Animation,7.4,28.0,117.0
Kiri and Lou Go Raaa!,Animation,6.2,10.0,60.0
Unstoppable,Animation,6.6,45.0,80.0
Krølle Bølle,Animation,6.6,62.0,80.0
To Your Island,Animation,7.1,23.0,119.0
Yugly,Animation,7.0,12.0,85.0
La fille dans les nuages,Animation,7.5,31.0,88.0
Shiboyugi: Playing Death Games to Put Food on the Table 44: Cloudy Beach,Animation,7.4,98.0,89.0
Lucy Lost,Animation,8.0,45.0,85.0
Meine Freundin Conni: Abenteuer mit Kranich Klaus,Animation,6.7,36.0,76.0
"Carmen, l'oiseau rebelle",Animation,7.0,30.0,90.0
Born in the Jungle,Animation,8.2,18.0,70.0
Sinking Road,Animation,8.3,21.0,56.0
Gekijô-ban Mahôka Kôkô no Rettôsei Yotsuba Keishô-hen,Animation,8.3,21.0,103.0
Dibu Martínez: El pibe que ataja el tiempo,Animation,6.3,335.0,77.0
Kimi to Hanabi to Yakusoku to,Animation,9.2,5.0,96.0
Otter,Animation,,,
The Camphorwood Custodian,Animation,6.8,61.0,113.0
Kdyby se holubi promenili ve zlato,Animation,7.9,61.0,110.0
The Last Guest: Reimagined - The Origin,Animation,8.5,53.0,87.0
The Texas Chain Saw Massacre (Rotoscoped Animated Version),Animation,,,
Paris ni Saku Etoile,Animation,8.2,31.0,119.0
Le dossier de l'aube,Animation,7.6,9.0,98.0
Blaise,Animation,7.2,25.0,82.0
Best Movie Ever,Animation,,,
Koshchey. Tayna zhivoy vody,Animation,3.8,34.0,80.0
