Movie Name,Genre,Ratings,Voting Counts,Duration
The Invite,Comedy,7.5,53000.0,107.0
Project Hail Mary,Comedy,8.2,524000.0,156.0
Tony,Comedy,7.6,4900.0,106.0
Toy Story 5,Comedy,7.4,74000.0,102.0
The Sheep Detectives,Comedy,7.4,106000.0,109.0
The Drama,Comedy,7.1,118000.0,105.0
Spa Weekend,Comedy,5.4,874.0,97.0
One Night Only,Comedy,6.3,4900.0,102.0
The Devil Wears Prada 2,Comedy,6.3,107000.0,119.0
Coyote vs. Acme,Comedy,7.7,2300.0,101.0
Minions & Monsters,Comedy,6.4,28000.0,90.0
72 Hours,Comedy,5.4,20000.0,105.0
Niu Lai,Comedy,6.5,1000.0,86.0
PAW Patrol: The Dino Movie,Comedy,6.2,1700.0,88.0
Scary Movie 6,Comedy,4.8,52000.0,100.0
I Want Your Sex,Comedy,6.4,2300.0,90.0
Cocktail 2,Comedy,6.6,30000.0,150.0
Voicemails for Isabelle,Comedy,7.3,50000.0,118.0
The Dink,Comedy,6.1,9800.0,102.0
Practical Magic 2,Comedy,,,110.0
Rosebush Pruning,Comedy,5.2,1500.0,97.0
Remarkably Bright Creatures,Comedy,7.6,48000.0,111.0
Over Your Dead Body,Comedy,6.3,32000.0,105.0
The Super Mario Galaxy Movie,Comedy,6.3,73000.0,98.0
Ready or Not 2: Here I Come,Comedy,6.5,72000.0,108.0
Main Vaapas Aaunga,Comedy,8.0,12000.0,167.0
Busboys,Comedy,4.2,2800.0,97.0
Moana,Comedy,5.8,14000.0,115.0
Here the Whole Time,Comedy,7.0,1300.0,100.0
Gail Daughtry and the Celebrity Sex Pass,Comedy,6.2,2800.0,94.0
How to Make a Killing,Comedy,6.5,41000.0,105.0
Cold Storage,Comedy,6.0,28000.0,99.0
Hoppers,Comedy,7.2,83000.0,104.0
They Will Kill You,Comedy,6.3,50000.0,94.0
Enola Holmes 3,Comedy,5.7,30000.0,105.0
Ladies First,Comedy,5.8,35000.0,90.0
Wicker,Comedy,7.5,284.0,105.0
People We Meet on Vacation,Comedy,6.6,52000.0,117.0
Jackass: Best and Last,Comedy,6.2,11000.0,92.0
Solo Mio,Comedy,6.6,15000.0,96.0
The Wrong Girls,Comedy,6.0,619.0,99.0
Welcome to the Jungle,Comedy,4.1,22000.0,165.0
The Breadwinner,Comedy,5.6,4100.0,99.0
Idiots,Comedy,6.0,418.0,98.0
Office Romance,Comedy,5.8,23000.0,114.0
Bethlehem Kudumba Unit,Comedy,8.4,4300.0,157.0
GOAT,Comedy,6.6,30000.0,100.0
Dhamaal 4,Comedy,8.1,36000.0,143.0
Super Troopers 3,Comedy,6.1,1600.0,104.0
The Wrecking Crew,Comedy,6.4,54000.0,124.0
Power Ballad,Comedy,6.7,7400.0,98.0
Little Brother,Comedy,5.5,14000.0,102.0
Roommates,Comedy,5.7,9600.0,107.0
Finding Emily,Comedy,6.9,4100.0,111.0
Swapped,Comedy,7.3,24000.0,98.0
Ghost in the Cell,Comedy,6.9,2100.0,106.0
Family Movie,Comedy,7.1,71.0,81.0
Pyaar Prema Kalyanam,Comedy,7.4,1400.0,126.0
Mike & Nick & Nick & Alice,Comedy,6.2,26000.0,107.0
Back to the 90s,Comedy,4.0,416.0,92.0
I Love Boosters,Comedy,6.6,8300.0,113.0
"You, Me & Tuscany",Comedy,6.0,5400.0,105.0
Forgotten Island,Comedy,6.8,166.0,109.0
Victorian Psycho,Comedy,5.1,275.0,102.0
Sunny Dancer,Comedy,7.3,838.0,106.0
Stop! That! Train!,Comedy,5.8,3200.0,90.0
Forbidden Fruits,Comedy,5.2,6800.0,103.0
"Mein bester Freund, seine Freundin und ich",Comedy,5.4,622.0,98.0
Club Kid,Comedy,7.7,153.0,122.0
Balls Up,Comedy,4.7,15000.0,104.0
