Movie Name,Genre,Ratings,Voting Counts,Duration
Mutiny,Crime,5.7,11000.0,95.0
Facing El Chapo,Crime,6.7,3600.0,91.0
Toxic,Crime,3.7,10000.0,192.0
In the Grey,Crime,6.3,38000.0,98.0
Colony,Crime,6.5,12000.0,122.0
The Whisper Man,Crime,,,111.0
PAW Patrol: The Dino Movie,Crime,6.2,1700.0,88.0
Khalifa,Crime,6.8,7800.0,159.0
The Rip,Crime,6.8,144000.0,113.0
Never After Dark,Crime,6.5,153.0,105.0
Crime 101,Crime,6.8,94000.0,140.0
Atlas King,Crime,3.8,183.0,90.0
Citizen Vigilante,Crime,5.8,37000.0,89.0
Enola Holmes 3,Crime,5.7,30000.0,105.0
The Wrong Girls,Crime,6.0,619.0,99.0
Welcome to the Jungle,Crime,4.1,22000.0,165.0
Mercy,Crime,6.2,80000.0,99.0
Idiots,Crime,6.0,418.0,98.0
DC,Crime,8.3,5000.0,141.0
Hot Spot,Crime,4.7,234.0,101.0
Super Troopers 3,Crime,6.1,1600.0,104.0
The Wrecking Crew,Crime,6.4,54000.0,124.0
Peaky Blinders: The Immortal Man,Crime,6.5,89000.0,112.0
Rise of the Footsoldier: Retribution,Crime,5.5,153.0,112.0
Dhurandhar: The Revenge,Crime,8.2,71000.0,235.0
Mike & Nick & Nick & Alice,Crime,6.2,26000.0,107.0
A Child of My Own,Crime,6.0,764.0,96.0
I Love Boosters,Crime,6.6,8300.0,113.0
Paper Tiger,Crime,6.7,373.0,115.0
The Weight,Crime,7.3,226.0,115.0
Elize: Shadows of a Woman,Crime,6.0,3800.0,93.0
Her Private Hell,Crime,4.5,2900.0,110.0
Chompoo: Lost & Forgotten,Crime,5.3,234.0,85.0
Josephine,Crime,8.0,444.0,114.0
Beast Race,Crime,4.7,1200.0,124.0
Balls Up,Crime,4.7,15000.0,104.0
All Night Wrong,Crime,4.9,332.0,91.0
Punjab '95,Crime,8.8,106000.0,169.0
The Marked Woman,Crime,5.5,3500.0,109.0
Ikka,Crime,5.5,4600.0,140.0
Psycho Killer,Crime,4.7,6500.0,91.0
Outcome,Crime,4.5,12000.0,83.0
Valathu Vashathe Kallan,Crime,6.1,3000.0,135.0
Batman: Knightfall - Part 1: Knightfall,Crime,8.0,2500.0,78.0
Maternal Instinct,Crime,7.2,12000.0,94.0
Minotaur,Crime,7.7,425.0,135.0
The Only Living Pickpocket in New York,Crime,7.3,232.0,88.0
7 Dogs,Crime,5.6,4900.0,125.0
Dridam,Crime,7.0,5300.0,128.0
Just Play Dead,Crime,,,96.0
The Debt Collector,Crime,5.6,1300.0,132.0
Nando Between Two Worlds - A Sintonia Film,Crime,4.5,303.0,109.0
Colours of Evil: Black,Crime,5.9,3400.0,110.0
Uyir,Crime,6.4,1800.0,145.0
The Crash,Crime,6.5,13000.0,92.0
Above and Below,Crime,4.7,368.0,96.0
Imposters,Crime,6.9,299.0,102.0
The Invisible Guest,Crime,6.8,99.0,121.0
The Leader,Crime,8.0,76.0,104.0
Diamond,Crime,7.9,55.0,118.0
Newton's 3rd Law,Crime,9.2,4200.0,138.0
The Gallerist,Crime,4.5,221.0,94.0
Con City,Crime,6.7,2400.0,150.0
Clash of the Thundermans,Crime,8.9,55.0,
Kattalan,Crime,7.0,2600.0,120.0
Nu e locul tau aici,Crime,7.2,32.0,154.0
Wings of Dread,Crime,5.8,238.0,86.0
Humint,Crime,6.4,4000.0,119.0
Second Case of Seetharam,Crime,6.4,1100.0,120.0
Hanging by a Wire,Crime,7.4,56.0,98.0
Mohiniyattam,Crime,7.6,3100.0,145.0
Gaskins: The Hitchhiker Killer,Crime,,,
O' Romeo,Crime,5.2,24000.0,178.0
Oscar Shaw,Crime,4.6,756.0,93.0
Parimala and Co,Crime,6.0,1200.0,146.0
Husbands in Action,Crime,6.2,2300.0,107.0
The Truth and Tragedy of Moriah Wilson,Crime,6.6,4900.0,95.0
Revenge,Crime,5.5,2100.0,103.0
Babita Singh Reporting,Crime,,,131.0
Detective Conan: Fallen Angel of the Highway,Crime,6.2,454.0,109.0
Drag,Crime,7.6,50.0,86.0
The Murder of Rachel Nickell,Crime,6.8,3400.0,95.0
Kidnapped: Elizabeth Smart,Crime,6.7,6500.0,91.0
Shackled,Crime,5.8,74.0,84.0
Srinivasa Mangapuram,Crime,3.8,141.0,150.0
No Ordinary Heist,Crime,5.7,939.0,99.0
The Birthday Party,Crime,6.0,93.0,114.0
Chili Finger,Crime,7.8,84.0,100.0
Fury in the Shadows,Crime,6.0,64.0,85.0
Reckless,Crime,5.2,1300.0,91.0
Baby Do Die Do,Crime,6.4,953.0,125.0
Closure,Crime,7.0,72.0,108.0
Drishyam 3,Crime,6.6,5200.0,157.0
Kara,Crime,6.8,6100.0,159.0
KD: The Devil,Crime,6.1,4000.0,140.0
Ashes,Crime,5.0,69.0,
The Theft of the Caravaggio,Crime,5.2,256.0,90.0
Kartavya,Crime,5.4,4000.0,108.0
Last Hit,Crime,6.0,1100.0,79.0
Antártida,Crime,,,93.0
Mardaani 3,Crime,6.0,11000.0,129.0
Clean Hands,Crime,,,108.0
Le crime du 3e étage,Crime,6.3,715.0,104.0
KJQ,Crime,9.2,1000.0,155.0
Moses the Black,Crime,5.2,307.0,104.0
Too Many Beasts,Crime,6.9,49.0,95.0
Furious Attack,Crime,6.2,71.0,77.0
Hunting Party,Crime,6.8,73.0,92.0
180,Crime,4.6,2300.0,94.0
The Investigation of Lucy Letby,Crime,5.5,4300.0,92.0
Paradise,Crime,6.5,13.0,
Assi,Crime,6.7,5200.0,134.0
Fight Against Evil 3,Crime,6.8,294.0,100.0
The Red Line,Crime,6.1,1400.0,135.0
Animol,Crime,6.7,84.0,90.0
Cold War 1994,Crime,6.4,701.0,117.0
Unmadham,Crime,6.2,1200.0,141.0
Maa Behen,Crime,5.5,4800.0,127.0
Boris Is Dead,Crime,7.0,9.0,88.0
Licence,Crime,6.6,174.0,145.0
Kong Qiang,Crime,7.4,67.0,160.0
Panchali Panchabhartruka,Crime,9.3,2100.0,128.0
"Dad, I Want to Talk",Crime,8.6,25.0,166.0
A Crime Story,Crime,4.6,60.0,98.0
Pallichattambi,Crime,5.9,4700.0,150.0
Boss,Crime,9.6,564.0,122.0
Bodily Harm,Crime,9.0,13.0,116.0
Bring the Law,Crime,3.9,245.0,95.0
Tarung: Unforgiven,Crime,7.1,126.0,100.0
Nizhal,Crime,8.0,1100.0,101.0
Cheekatilo,Crime,5.5,8900.0,126.0
Zhi ming chao xi,Crime,5.1,35.0,69.0
Mrithyunjay,Crime,6.3,1100.0,122.0
The Dreamed Adventure,Crime,6.3,154.0,167.0
Khali Balak Min Nafsak,Crime,5.7,143.0,105.0
Bad News on the Doorstep,Crime,8.0,8.0,
Nothing to Lose,Crime,5.6,593.0,99.0
Bruton,Crime,8.4,26.0,
Karmakhya,Crime,9.0,2000.0,126.0
State of Fear,Crime,4.9,765.0,103.0
Crooks,Crime,8.1,9.0,80.0
Velhos Bandidos,Crime,5.9,834.0,93.0
Spades,Crime,5.1,80.0,115.0
Dharpakad,Crime,7.9,353.0,117.0
Mystery Arena,Crime,5.4,82.0,117.0
The Idaho College Murders: Catching Kohberger,Crime,5.4,33.0,63.0
Nine Black Cats,Crime,,,96.0
Chelot,Crime,5.9,9.0,125.0
Barreda,Crime,,,105.0
The Plan,Crime,8.2,49.0,74.0
Lone Star Bull,Crime,5.4,20.0,90.0
EB,Crime,4.9,144.0,108.0
The Arab,Crime,7.4,31.0,106.0
Labrador - autopsie du silence,Crime,7.0,8.0,120.0
Candy and the Pizza Ggirl,Crime,4.3,57.0,100.0
Hold Onto Me,Crime,6.8,181.0,102.0
Plan C,Crime,6.5,31.0,89.0
We're Nothing at All,Crime,7.1,217.0,128.0
Set Me Free: Director's Cut,Crime,7.1,467.0,164.0
The Boatman,Crime,7.4,40.0,106.0
Who Killed Alex Odeh?,Crime,7.3,34.0,83.0
A Murder Between Friends,Crime,3.9,270.0,87.0
This Is Birmingham,Crime,2.8,235.0,109.0
Kaalidas 2,Crime,6.3,679.0,136.0
Skurkarnas skurk,Crime,5.5,341.0,96.0
Ultimate Revenge,Crime,6.1,150.0,112.0
Sunset Strip Killers,Crime,3.9,169.0,88.0
Jeevan Bheema Yojana,Crime,,,
A Family of Bastards,Crime,5.6,586.0,105.0
M4M: Motive for Murder,Crime,7.1,4200.0,97.0
Vanishing Point,Crime,6.7,268.0,140.0
Operasi Pesta Copet,Crime,7.5,14.0,113.0
Sakamoto Days,Crime,7.5,61.0,128.0
Malaikat Malam,Crime,4.8,157.0,111.0
Aag Lagay Basti Mein,Crime,7.7,483.0,140.0
Maigret in Society,Crime,6.0,288.0,80.0
"I, Nobody",Crime,6.0,700.0,168.0
Kraken:The Black Book of Hours,Crime,5.8,185.0,111.0
Achilles Returns,Crime,5.2,1600.0,50.0
Happy Patel: Khatarnak Jasoos,Crime,4.6,2600.0,119.0
Leader,Crime,7.6,7200.0,136.0
Top Cop,Crime,7.9,82.0,113.0
Maya Satya Bhram,Crime,8.8,58.0,134.0
Detective Chen 2,Crime,5.7,36.0,90.0
Une affaire turque,Crime,7.3,71.0,92.0
Hostage,Crime,5.4,83.0,92.0
Kadaknath,Crime,9.2,100.0,133.0
Splash City,Crime,7.5,22.0,100.0
Blackout,Crime,4.0,632.0,82.0
Sampradayaini Suppini Suddapusaani,Crime,5.3,376.0,135.0
Kaalam paranja kadha,Crime,4.1,7.0,139.0
The King of the Internet,Crime,6.2,33.0,135.0
Dirty Hands,Crime,4.0,277.0,80.0
Valluvan,Crime,9.2,704.0,129.0
