Movie Name,Genre,Ratings,Voting Counts,Duration
The Invite,Drama,7.5,53000.0,107.0
Don't Say Good Luck,Drama,6.8,6200.0,95.0
Project Hail Mary,Drama,8.2,524000.0,156.0
Teenage Sex and Death at Camp Miasma,Drama,7.2,6600.0,112.0
The Dog Stars,Drama,6.5,2000.0,118.0
Tony,Drama,7.6,4900.0,106.0
Disclosure Day,Drama,6.4,146000.0,145.0
Michael,Drama,7.4,179000.0,127.0
Toy Story 5,Drama,7.4,74000.0,102.0
The Drama,Drama,7.1,118000.0,105.0
Mother Mary,Drama,5.4,9400.0,111.0
One Night Only,Drama,6.3,4900.0,102.0
The Devil Wears Prada 2,Drama,6.3,107000.0,119.0
Toxic,Drama,3.7,10000.0,192.0
In the Grey,Drama,6.3,38000.0,98.0
Awarapan 2,Drama,6.6,12000.0,140.0
The Death of Robin Hood,Drama,6.0,16000.0,122.0
Supergirl,Drama,5.8,86000.0,108.0
Pressure,Drama,7.3,24000.0,100.0
The Whisper Man,Drama,,,111.0
I Want Your Sex,Drama,6.4,2300.0,90.0
Cocktail 2,Drama,6.6,30000.0,150.0
Voicemails for Isabelle,Drama,7.3,50000.0,118.0
Khalifa,Drama,6.8,7800.0,159.0
Practical Magic 2,Drama,,,110.0
The Rip,Drama,6.8,144000.0,113.0
Rosebush Pruning,Drama,5.2,1500.0,97.0
Remarkably Bright Creatures,Drama,7.6,48000.0,111.0
Crime 101,Drama,6.8,94000.0,140.0
The Brink of War,Drama,6.7,1300.0,117.0
Irumudi,Drama,7.5,1400.0,160.0
Hope,Drama,6.9,1200.0,160.0
Main Vaapas Aaunga,Drama,8.0,12000.0,167.0
Truly Naked,Drama,6.4,1300.0,102.0
Atlas King,Drama,3.8,183.0,90.0
Wuthering Heights,Drama,6.1,90000.0,136.0
Is God Is,Drama,6.5,6200.0,100.0
Vishwanath and Sons,Drama,7.6,2700.0,161.0
Fall 2: Deadpoint,Drama,7.7,80.0,97.0
Lucky Strike,Drama,5.3,2100.0,103.0
Deep Water,Drama,5.4,11000.0,106.0
How to Make a Killing,Drama,6.5,41000.0,105.0
Enola Holmes 3,Drama,5.7,30000.0,105.0
Wicker,Drama,7.5,284.0,105.0
The Last Sunrise,Drama,5.7,1200.0,106.0
The Wrong Girls,Drama,6.0,619.0,99.0
Mercy,Drama,6.2,80000.0,99.0
Fjord,Drama,7.9,2100.0,146.0
Bethlehem Kudumba Unit,Drama,8.4,4300.0,157.0
DC,Drama,8.3,5000.0,141.0
Reminders of Him,Drama,6.3,12000.0,114.0
Tom Clancy's Jack Ryan: Ghost War,Drama,5.7,32000.0,105.0
Balan: The Boy,Drama,8.1,5100.0,150.0
The Bride!,Drama,5.6,37000.0,126.0
Governor: The Silent Saviour,Drama,6.6,1900.0,122.0
Hot Spot,Drama,4.7,234.0,101.0
La Fiera,Drama,6.1,906.0,113.0
One Mile: Chapter One,Drama,5.7,3800.0,89.0
Power Ballad,Drama,6.7,7400.0,98.0
Chennai Love Story,Drama,7.1,2900.0,180.0
Peaky Blinders: The Immortal Man,Drama,6.5,89000.0,112.0
Return to Silent Hill,Drama,4.0,25000.0,106.0
Desire,Drama,4.4,3100.0,97.0
Nightborn,Drama,5.6,2300.0,92.0
Batwara 1947,Drama,4.3,1800.0,160.0
Saccharine,Drama,5.9,4400.0,113.0
Pyaar Prema Kalyanam,Drama,7.4,1400.0,126.0
De Gaulle: Résistance,Drama,7.7,2400.0,160.0
I Love Boosters,Drama,6.6,8300.0,113.0
Paper Tiger,Drama,6.7,373.0,115.0
The Isolate Thief,Drama,5.7,1000.0,95.0
The Weight,Drama,7.3,226.0,115.0
Huan Ying Lai Long Can Guan,Drama,8.3,747.0,141.0
Beast,Drama,5.8,3900.0,114.0
Ohh My Dog,Drama,8.2,17000.0,141.0
Elize: Shadows of a Woman,Drama,6.0,3800.0,93.0
Sunny Dancer,Drama,7.3,838.0,106.0
Girls Like Girls,Drama,6.4,2900.0,95.0
Her Private Hell,Drama,4.5,2900.0,110.0
Jana Nayagan,Drama,5.3,5800.0,183.0
Union County,Drama,6.8,227.0,97.0
Josephine,Drama,8.0,444.0,114.0
Club Kid,Drama,7.7,153.0,122.0
Ishqnama,Drama,8.8,2600.0,145.0
The Truthers,Drama,5.3,2400.0,106.0
Modha Rathiri,Drama,9.1,1100.0,150.0
Punjab '95,Drama,8.8,106000.0,169.0
All That We Never Were,Drama,5.2,409.0,107.0
The Marked Woman,Drama,5.5,3500.0,109.0
Ikka,Drama,5.5,4600.0,140.0
Wildcards,Drama,,,
Psycho Killer,Drama,4.7,6500.0,91.0
Lenin,Drama,6.2,1600.0,159.0
Outcome,Drama,4.5,12000.0,83.0
Your Fault: London,Drama,6.0,5000.0,123.0
Batman: Knightfall - Part 1: Knightfall,Drama,8.0,2500.0,78.0
The Incomer,Drama,7.3,172.0,102.0
Idhayam Murali,Drama,7.2,5600.0,150.0
The Samurai and the Prisoner,Drama,7.0,595.0,147.0
Minotaur,Drama,7.7,425.0,135.0
Dear You,Drama,8.3,1900.0,118.0
A Great Awakening,Drama,6.6,1800.0,129.0
Bitter Christmas,Drama,6.3,3900.0,111.0
Fatherland,Drama,7.1,931.0,82.0
La bola negra,Drama,7.3,399.0,155.0
The Only Living Pickpocket in New York,Drama,7.3,232.0,88.0
Maa Inti Bangaram,Drama,7.4,7300.0,154.0
"Miss You, Love You",Drama,6.8,2300.0,97.0
Yaar Jigree Kasooti Degree,Drama,8.2,870.0,168.0
All of a Sudden,Drama,8.0,625.0,196.0
One Mile: Chapter Two,Drama,5.0,2600.0,83.0
Dridam,Drama,7.0,5300.0,128.0
Heartstopper Forever,Drama,6.9,8000.0,114.0
Boulevard,Drama,4.7,1600.0,112.0
Blades of the Guardians,Drama,6.8,3900.0,126.0
Gatta Kusthi 2,Drama,6.8,2800.0,154.0
Hadestown: The Musical,Drama,8.6,2800.0,141.0
Your Heart Will Be Broken,Drama,4.8,925.0,134.0
Pretty Babies,Drama,6.3,21.0,92.0
Blast,Drama,7.3,17000.0,142.0
The Bluff,Drama,5.8,19000.0,103.0
Peddi,Drama,5.2,9000.0,182.0
Midwinter Break,Drama,6.0,1500.0,90.0
Nando Between Two Worlds - A Sintonia Film,Drama,4.5,303.0,109.0
Kraken,Drama,5.0,5900.0,100.0
In the Blink of an Eye,Drama,6.1,7600.0,94.0
Colours of Evil: Black,Drama,5.9,3400.0,110.0
Just an Illusion,Drama,7.3,1300.0,116.0
Skintown,Drama,7.9,25.0,99.0
Den hemmelige kvinde,Drama,,,
The Bay,Drama,3.8,1200.0,87.0
Savage House,Drama,6.1,1300.0,113.0
Madfabulous,Drama,5.7,215.0,108.0
Euphoria,Drama,7.3,2900.0,150.0
I Can Only Imagine 2,Drama,7.1,1700.0,110.0
The Moment,Drama,6.1,5700.0,103.0
The Sun Never Sets,Drama,6.7,63.0,102.0
Rose,Drama,7.6,1100.0,94.0
The Beloved,Drama,7.1,960.0,135.0
The Odyssey,Drama,2.3,297.0,86.0
De Gaulle: Part 2- Liberte,Drama,8.0,1400.0,157.0
Imposters,Drama,6.9,299.0,102.0
The Invisible Guest,Drama,6.8,99.0,121.0
If I Go Will They Miss Me,Drama,6.8,147.0,95.0
Rao Bahadur,Drama,8.0,4400.0,145.0
Aakhri Sawal,Drama,5.6,13000.0,150.0
Coward,Drama,7.2,250.0,120.0
The Leader,Drama,8.0,76.0,104.0
"Love Me, Love Me",Drama,4.3,5900.0,99.0
No Rest for the Wicked,Drama,8.1,33.0,103.0
Diamond,Drama,7.9,55.0,118.0
Killing Castro,Drama,8.2,57.0,113.0
Bharat Bhhagya Viddhaata,Drama,6.5,7900.0,125.0
La Gradiva,Drama,7.6,197.0,145.0
Everytime,Drama,7.2,284.0,119.0
Queen at Sea,Drama,7.7,251.0,121.0
Still Hope,Drama,6.1,291.0,113.0
Gentle Monster,Drama,6.5,221.0,114.0
The Great Grand Superhero: Aliens Ka Aagman,Drama,6.9,2900.0,112.0
500 Miles,Drama,7.3,334.0,102.0
Elijah Peel,Drama,7.4,84.0,107.0
Johnny Jumper,Drama,5.8,7300.0,104.0
23 000 Lives,Drama,5.2,1500.0,112.0
Con City,Drama,6.7,2400.0,150.0
29,Drama,7.7,6300.0,150.0
Scorch Marks,Drama,,,90.0
"Keu Bole Biplobi, Keu Bole Dakat",Drama,8.4,1300.0,144.0
Brothers Under Fire,Drama,4.8,1800.0,101.0
The Last Day,Drama,7.3,40.0,99.0
Clash of the Thundermans,Drama,8.9,55.0,
Kattalan,Drama,7.0,2600.0,120.0
Nu e locul tau aici,Drama,7.2,32.0,154.0
Sheep in the Box,Drama,6.1,617.0,126.0
Virus patoloske dobrote,Drama,8.8,21.0,99.0
Holy Days,Drama,5.9,581.0,101.0
Propeller: One-Way Night Coach,Drama,5.8,2000.0,61.0
The Swedish Connection,Drama,6.9,5300.0,102.0
"Ganito, ganyan, ganoon",Drama,5.6,125.0,112.0
Karuppu,Drama,6.1,11000.0,150.0
Newborn,Drama,5.1,364.0,102.0
The Saviors,Drama,7.6,66.0,90.0
Couples Weekend,Drama,4.6,660.0,96.0
The Unknown,Drama,6.3,210.0,139.0
Parallel Tales,Drama,6.0,519.0,139.0
Number One,Drama,6.5,273.0,104.0
Nooru Saami,Drama,7.4,1500.0,129.0
Deewana,Drama,8.2,1400.0,150.0
Nagabandham - The Secret Treasure,Drama,6.7,5700.0,185.0
Border 2,Drama,5.8,21000.0,200.0
Ernie & Emma,Drama,9.2,83.0,88.0
Grizzly Night,Drama,4.6,1500.0,87.0
Tangles,Drama,7.6,93.0,102.0
Raja Shivaji,Drama,6.7,24000.0,195.0
Test,Drama,7.6,37.0,113.0
Sannidhanam P.O.,Drama,6.8,3700.0,130.0
Yellow Letters,Drama,7.2,2000.0,127.0
G.D.N.,Drama,8.5,1200.0,146.0
Hai Jawani Toh Ishq Hona Hai,Drama,4.1,13000.0,136.0
Creampie,Drama,5.9,43.0,80.0
A Love Like This,Drama,5.4,214.0,88.0
Dacoit: A Love Story,Drama,7.4,10000.0,149.0
Pati Patni Aur Woh Do,Drama,5.8,8900.0,117.0
Wishful Thinking,Drama,7.4,73.0,105.0
"Ha-Chan, Shake Your Booty!",Drama,7.2,134.0,122.0
O' Romeo,Drama,5.2,24000.0,178.0
Oscar Shaw,Drama,4.6,756.0,93.0
Down the Arm of God,Drama,8.9,51.0,106.0
Do Us Part,Drama,8.3,32.0,94.0
Filipiñana,Drama,6.5,146.0,100.0
Accused,Drama,4.5,2400.0,107.0
Let's Love,Drama,4.9,113.0,82.0
Firebreak,Drama,5.8,4700.0,107.0
"I, Object",Drama,7.2,24.0,92.0
The King’s Warden,Drama,7.1,1400.0,116.0
The Man I Love,Drama,5.3,447.0,95.0
Mesdames Thanh Sac,Drama,5.1,20.0,128.0
Babita Singh Reporting,Drama,,,131.0
Happy Hours,Drama,8.8,35.0,80.0
Mexicali,Drama,5.5,584.0,99.0
Full Phil,Drama,5.5,53.0,78.0
Salvation,Drama,6.9,671.0,117.0
The Blood Countess,Drama,5.7,112.0,118.0
Wait for Me to be Successful Later,Drama,7.7,479.0,110.0
A Dare to Kiss My Bad Boy,Drama,8.0,66.0,
Chand Mera Dil,Drama,6.3,7500.0,135.0
Mexico 86,Drama,6.4,2800.0,95.0
Vaazha II: Biopic of a Billion Bros,Drama,8.0,7200.0,160.0
The Amazing Digital Circus: The Last Act,Drama,7.5,6200.0,95.0
Shree Baba Neeb Karori Maharaj,Drama,8.6,74.0,145.0
Kill Code,Drama,4.0,3500.0,87.0
Ikkis,Drama,6.1,27000.0,144.0
Sarpanch,Drama,8.5,42.0,145.0
Srinivasa Mangapuram,Drama,3.8,141.0,150.0
Blir du ledsen om jag dör?,Drama,6.7,59.0,
Cotton Fever,Drama,9.2,20.0,89.0
Casa Grande,Drama,4.7,218.0,113.0
