Movie Name,Genre,Ratings,Voting Counts,Duration
The Odyssey,Fantasy,8.5,453000.0,172.0
Masters of the Universe,Fantasy,6.4,114000.0,140.0
Toy Story 5,Fantasy,7.4,74000.0,102.0
Coyote vs. Acme,Fantasy,7.7,2300.0,101.0
BLEACH: Thousand-Year Blood War - The Calamity,Fantasy,9.2,14000.0,80.0
Avatar Aang: The Last Airbender,Fantasy,7.8,24000.0,99.0
Colony,Fantasy,6.5,12000.0,122.0
Mortal Kombat II,Fantasy,6.3,86000.0,116.0
PAW Patrol: The Dino Movie,Fantasy,6.2,1700.0,88.0
Pinocchio: Unstrung,Fantasy,5.6,2300.0,82.0
Star Wars: The Mandalorian and Grogu,Fantasy,6.8,93000.0,132.0
Practical Magic 2,Fantasy,,,110.0
The Magic Faraway Tree,Fantasy,6.3,5300.0,110.0
Never After Dark,Fantasy,6.5,153.0,105.0
The Super Mario Galaxy Movie,Fantasy,6.3,73000.0,98.0
Moana,Fantasy,5.8,14000.0,115.0
Wicker,Fantasy,7.5,284.0,105.0
Hot Spot,Fantasy,4.7,234.0,101.0
Master of the Universe,Fantasy,2.8,1500.0,81.0
Swapped,Fantasy,7.3,24000.0,98.0
Legend of the White Dragon,Fantasy,,,97.0
Forgotten Island,Fantasy,6.8,166.0,109.0
The Incomer,Fantasy,7.3,172.0,102.0
Kraken,Fantasy,5.0,5900.0,100.0
Imposters,Fantasy,6.9,299.0,102.0
All Wishes Come True!,Fantasy,7.9,944.0,144.0
Korean Kanakaraju,Fantasy,7.7,2400.0,150.0
Sheep in the Box,Fantasy,6.1,617.0,126.0
Karuppu,Fantasy,6.1,11000.0,150.0
The Unknown,Fantasy,6.3,210.0,139.0
Number One,Fantasy,6.5,273.0,104.0
Nagabandham - The Secret Treasure,Fantasy,6.7,5700.0,185.0
The Pout-Pout Fish,Fantasy,5.0,1100.0,92.0
Gale: Yellow Brick Road,Fantasy,3.7,209.0,104.0
Chronovisor,Fantasy,6.8,47.0,99.0
Eiga Chiikawa: Ningyo no Shima no Himitsu,Fantasy,7.4,460.0,99.0
Wishful Thinking,Fantasy,7.4,73.0,105.0
"Ha-Chan, Shake Your Booty!",Fantasy,7.2,134.0,122.0
Bhooth Bangla,Fantasy,5.0,24000.0,163.0
"I, Object",Fantasy,7.2,24.0,92.0
The Man I Love,Fantasy,5.3,447.0,95.0
Harusnya Horror,Fantasy,3.6,251.0,106.0
Ghabadkund,Fantasy,7.2,1100.0,132.0
The Ribbon Hero,Fantasy,6.0,500.0,109.0
That Time I Got Reincarnated as a Slime the Movie: Tears of the Azure Sea,Fantasy,6.2,1100.0,105.0
Sing Geetham,Fantasy,6.6,1000.0,140.0
