Movie Name,Genre,Ratings,Voting Counts,Duration
Insidious: Out of the Further,Horror,6.2,8000.0,106.0
The Last House,Horror,5.5,50000.0,112.0
Teenage Sex and Death at Camp Miasma,Horror,7.2,6600.0,112.0
Backrooms,Horror,6.8,185000.0,126.0
Passenger,Horror,5.5,19000.0,97.0
Evil Dead Burn,Horror,6.3,41000.0,110.0
Colony,Horror,6.5,12000.0,122.0
Hokum,Horror,6.7,59000.0,107.0
Scary Movie 6,Horror,4.8,52000.0,100.0
Bury the Devil,Horror,4.3,411.0,86.0
Pinocchio: Unstrung,Horror,5.6,2300.0,82.0
Send Help,Horror,6.7,151000.0,113.0
Buddy,Horror,7.2,732.0,95.0
Soulm8te,Horror,5.8,6100.0,99.0
Never After Dark,Horror,6.5,153.0,105.0
Leviticus,Horror,6.4,15000.0,88.0
The Devil's Mouth,Horror,4.7,15000.0,106.0
Lee Cronin's The Mummy,Horror,6.1,69000.0,134.0
Hope,Horror,6.9,1200.0,160.0
Ready or Not 2: Here I Come,Horror,6.5,72000.0,108.0
Ice Cream Man,Horror,3.8,4100.0,86.0
Sleepwalker,Horror,3.8,652.0,89.0
28 Years Later: The Bone Temple,Horror,7.2,124000.0,109.0
Deep Water,Horror,5.4,11000.0,106.0
Cold Storage,Horror,6.0,28000.0,99.0
They Will Kill You,Horror,6.3,50000.0,94.0
Scream 7,Horror,5.5,65000.0,114.0
The Bride!,Horror,5.6,37000.0,126.0
Return to Silent Hill,Horror,4.0,25000.0,106.0
Do Not Enter,Horror,4.3,5000.0,91.0
Nightborn,Horror,5.6,2300.0,92.0
Saccharine,Horror,5.9,4400.0,113.0
Ghost in the Cell,Horror,6.9,2100.0,106.0
Family Movie,Horror,7.1,71.0,81.0
Black Box,Horror,5.1,3300.0,85.0
Iron Lung,Horror,5.8,32000.0,125.0
Victorian Psycho,Horror,5.1,275.0,102.0
Thrash,Horror,5.0,33000.0,86.0
Her Private Hell,Horror,4.5,2900.0,110.0
Forbidden Fruits,Horror,5.2,6800.0,103.0
Feed,Horror,3.6,228.0,82.0
Yellow Eyes,Horror,3.5,142.0,86.0
Faces of Death,Horror,5.8,10000.0,97.0
Housemaid,Horror,4.3,378.0,89.0
Psycho Killer,Horror,4.7,6500.0,91.0
Hungry,Horror,5.0,3400.0,93.0
Lockbox,Horror,4.8,789.0,105.0
Pretty Lethal,Horror,5.8,16000.0,88.0
The Strangers: Chapter 3,Horror,4.2,8100.0,91.0
Kraken,Horror,5.0,5900.0,100.0
Black Zombie,Horror,7.1,45.0,90.0
The Bay,Horror,3.8,1200.0,87.0
Spider Island,Horror,7.1,16.0,95.0
Bone Keeper,Horror,4.8,3400.0,90.0
Imposters,Horror,6.9,299.0,102.0
Rao Bahadur,Horror,8.0,4400.0,145.0
No Rest for the Wicked,Horror,8.1,33.0,103.0
The Yeti,Horror,3.6,1500.0,93.0
Wrong Side of Dead,Horror,2.8,222.0,96.0
Korean Kanakaraju,Horror,7.7,2400.0,150.0
The Dreadful,Horror,3.9,2500.0,94.0
Aroopi,Horror,5.2,1900.0,115.0
Scorch Marks,Horror,,,90.0
Village of Eight Gravestones,Horror,6.3,6.0,
Killer Whale,Horror,3.7,5700.0,89.0
The Boy from Below,Horror,4.4,476.0,97.0
Nervous,Horror,6.3,7.0,100.0
Breeder,Horror,7.0,54.0,97.0
Holy Father,Horror,,,
Chum,Horror,2.9,1500.0,87.0
Abandoned,Horror,9.3,15.0,81.0
Vampires of the Velvet Lounge,Horror,4.2,428.0,105.0
The Last Temptation of Becky,Horror,7.8,27.0,89.0
Gale: Yellow Brick Road,Horror,3.7,209.0,104.0
The Mortuary Assistant,Horror,3.7,4200.0,91.0
Beliath,Horror,5.4,49.0,
Gaskins: The Hitchhiker Killer,Horror,,,
Grin,Horror,,,81.0
Bhooth Bangla,Horror,5.0,24000.0,163.0
