Movie Name,Genre,Ratings,Voting Counts,Duration
The End of Oak Street,Mystery,6.6,31000.0,99.0
Insidious: Out of the Further,Mystery,6.2,8000.0,106.0
The Last House,Mystery,5.5,50000.0,112.0
Disclosure Day,Mystery,6.4,146000.0,145.0
The Sheep Detectives,Mystery,7.4,106000.0,109.0
Avatar Aang: The Last Airbender,Mystery,7.8,24000.0,99.0
Colony,Mystery,6.5,12000.0,122.0
The Rip,Mystery,6.8,144000.0,113.0
Hope,Mystery,6.9,1200.0,160.0
Main Vaapas Aaunga,Mystery,8.0,12000.0,167.0
Is God Is,Mystery,6.5,6200.0,100.0
Enola Holmes 3,Mystery,5.7,30000.0,105.0
Mercy,Mystery,6.2,80000.0,99.0
Scream 7,Mystery,5.5,65000.0,114.0
Balan: The Boy,Mystery,8.1,5100.0,150.0
Super Troopers 3,Mystery,6.1,1600.0,104.0
The Wrecking Crew,Mystery,6.4,54000.0,124.0
Return to Silent Hill,Mystery,4.0,25000.0,106.0
Forgotten Island,Mystery,6.8,166.0,109.0
Ohh My Dog,Mystery,8.2,17000.0,141.0
The Huntsman,Mystery,3.9,740.0,105.0
Chompoo: Lost & Forgotten,Mystery,5.3,234.0,85.0
All Night Wrong,Mystery,4.9,332.0,91.0
Signal One,Mystery,5.5,2500.0,87.0
The Marked Woman,Mystery,5.5,3500.0,109.0
Outcome,Mystery,4.5,12000.0,83.0
The Samurai and the Prisoner,Mystery,7.0,595.0,147.0
Uyir,Mystery,6.4,1800.0,145.0
The Invisible Guest,Mystery,6.8,99.0,121.0
Rao Bahadur,Mystery,8.0,4400.0,145.0
Diamond,Mystery,7.9,55.0,118.0
Newton's 3rd Law,Mystery,9.2,4200.0,138.0
Strung,Mystery,5.0,1500.0,119.0
Brothers Under Fire,Mystery,4.8,1800.0,101.0
Parallel Tales,Mystery,6.0,519.0,139.0
Sannidhanam P.O.,Mystery,6.8,3700.0,130.0
Mohiniyattam,Mystery,7.6,3100.0,145.0
Chronovisor,Mystery,6.8,47.0,99.0
Accused,Mystery,4.5,2400.0,107.0
Parimala and Co,Mystery,6.0,1200.0,146.0
Babita Singh Reporting,Mystery,,,131.0
The Raven,Mystery,7.4,2500.0,97.0
Detective Conan: Fallen Angel of the Highway,Mystery,6.2,454.0,109.0
The Internship,Mystery,4.1,1300.0,91.0
The Blood Countess,Mystery,5.7,112.0,118.0
Bol Bol Rani,Mystery,8.2,2100.0,125.0
Anomie,Mystery,6.8,1500.0,135.0
The Amazing Digital Circus: The Last Act,Mystery,7.5,6200.0,95.0
Flavia,Mystery,6.0,572.0,92.0
Sarpanch,Mystery,8.5,42.0,145.0
Paket Santet,Mystery,,,98.0
In a Whisper,Mystery,6.9,277.0,111.0
Evil Follows,Mystery,4.2,82.0,
Baby Do Die Do,Mystery,6.4,953.0,125.0
The Whistler,Mystery,4.2,715.0,96.0
Hive,Mystery,4.7,1000.0,91.0
The Theft of the Caravaggio,Mystery,5.2,256.0,90.0
Tumbadchi Manjula,Mystery,7.2,425.0,152.0
Don't Look in the Dark,Mystery,7.0,6.0,71.0
DreamQuil,Mystery,5.5,63.0,89.0
Antártida,Mystery,,,93.0
Le vertige,Mystery,6.0,348.0,67.0
Monitor,Mystery,6.2,45.0,88.0
Hunting Party,Mystery,6.8,73.0,92.0
Puella Magi Madoka Magica the Movie -Walpurgisnacht Rising-,Mystery,,,120.0
Fing!,Mystery,7.1,60.0,96.0
The Voices of Our Mother,Mystery,4.5,325.0,93.0
Snapshot,Mystery,6.9,14.0,85.0
Agadha,Mystery,7.7,1100.0,137.0
The Eyes,Mystery,5.6,146.0,105.0
Unmadham,Mystery,6.2,1200.0,141.0
Ponderosa,Mystery,5.6,13.0,90.0
Mutter: The Diary of a Mother,Mystery,,,99.0
Tavvai,Mystery,7.6,2400.0,135.0
She Stole My Son's Heart,Mystery,6.0,51.0,86.0
The Meltdown,Mystery,6.4,71.0,108.0
"Dad, I Want to Talk",Mystery,8.6,25.0,166.0
Mareechika,Mystery,4.8,311.0,142.0
Addiction,Mystery,8.5,13.0,84.0
Dose,Mystery,4.5,1900.0,141.0
402 Rumah Sakit Angker Korea,Mystery,6.2,32.0,110.0
The Latcher,Mystery,7.7,7.0,80.0
Alas Roban,Mystery,5.1,292.0,111.0
Raakaasa,Mystery,6.7,4000.0,130.0
Balandrau: Where the Fierce Wind Blew,Mystery,6.6,567.0,119.0
The Watchers,Mystery,,,124.0
Phool Pishi O Edward,Mystery,8.2,527.0,139.0
After the End,Mystery,5.0,37.0,85.0
It Hunts,Mystery,6.5,59.0,98.0
Secret of Kalinga,Mystery,5.1,6100.0,120.0
Paradise,Mystery,6.7,56.0,90.0
The Man in the Window,Mystery,5.1,189.0,85.0
Drushya Adrushya,Mystery,7.4,595.0,116.0
Mystery Arena,Mystery,5.4,82.0,117.0
Recluse,Mystery,7.8,25.0,106.0
EB,Mystery,4.9,144.0,108.0
Fathers,Mystery,8.3,667.0,94.0
Beyond the Nest,Mystery,6.1,68.0,93.0
Rosie: The Saffron Chapter,Mystery,7.7,38.0,120.0
Tadviruddha,Mystery,9.0,1000.0,133.0
