Movie Name,Genre,Ratings,Voting Counts,Duration
The Invite,Romance,7.5,53000.0,107.0
Teenage Sex and Death at Camp Miasma,Romance,7.2,6600.0,112.0
The Drama,Romance,7.1,118000.0,105.0
One Night Only,Romance,6.3,4900.0,102.0
Toxic,Romance,3.7,10000.0,192.0
Awarapan 2,Romance,6.6,12000.0,140.0
I Want Your Sex,Romance,6.4,2300.0,90.0
Cocktail 2,Romance,6.6,30000.0,150.0
Voicemails for Isabelle,Romance,7.3,50000.0,118.0
The Dink,Romance,6.1,9800.0,102.0
Practical Magic 2,Romance,,,110.0
Leviticus,Romance,6.4,15000.0,88.0
Main Vaapas Aaunga,Romance,8.0,12000.0,167.0
Wuthering Heights,Romance,6.1,90000.0,136.0
Here the Whole Time,Romance,7.0,1300.0,100.0
Vishwanath and Sons,Romance,7.6,2700.0,161.0
Wicker,Romance,7.5,284.0,105.0
People We Meet on Vacation,Romance,6.6,52000.0,117.0
Solo Mio,Romance,6.6,15000.0,96.0
The Last Sunrise,Romance,5.7,1200.0,106.0
Office Romance,Romance,5.8,23000.0,114.0
Bethlehem Kudumba Unit,Romance,8.4,4300.0,157.0
DC,Romance,8.3,5000.0,141.0
Reminders of Him,Romance,6.3,12000.0,114.0
The Bride!,Romance,5.6,37000.0,126.0
Chennai Love Story,Romance,7.1,2900.0,180.0
Finding Emily,Romance,6.9,4100.0,111.0
Pyaar Prema Kalyanam,Romance,7.4,1400.0,126.0
Back to the 90s,Romance,4.0,416.0,92.0
"You, Me & Tuscany",Romance,6.0,5400.0,105.0
Girls Like Girls,Romance,6.4,2900.0,95.0
Ishqnama,Romance,8.8,2600.0,145.0
All Night Wrong,Romance,4.9,332.0,91.0
All That We Never Were,Romance,5.2,409.0,107.0
Lenin,Romance,6.2,1600.0,159.0
40 Dates and 40 Nights,Romance,6.2,1100.0,101.0
Your Fault: London,Romance,6.0,5000.0,123.0
Idhayam Murali,Romance,7.2,5600.0,150.0
La bola negra,Romance,7.3,399.0,155.0
Heartstopper Forever,Romance,6.9,8000.0,114.0
Boulevard,Romance,4.7,1600.0,112.0
Gatta Kusthi 2,Romance,6.8,2800.0,154.0
Your Heart Will Be Broken,Romance,4.8,925.0,134.0
Peddi,Romance,5.2,9000.0,182.0
Midwinter Break,Romance,6.0,1500.0,90.0
The Sun Never Sets,Romance,6.7,63.0,102.0
Kissing Is the Easy Part,Romance,6.0,1700.0,100.0
Coward,Romance,7.2,250.0,120.0
"Love Me, Love Me",Romance,4.3,5900.0,99.0
No Rest for the Wicked,Romance,8.1,33.0,103.0
29,Romance,7.7,6300.0,150.0
The Legend of Van Dorn,Romance,7.8,54.0,
Amor es amor,Romance,5.2,45.0,91.0
Ram in Leela,Romance,8.6,6200.0,141.0
Deewana,Romance,8.2,1400.0,150.0
Hai Jawani Toh Ishq Hona Hai,Romance,4.1,13000.0,136.0
A Love Like This,Romance,5.4,214.0,88.0
Dacoit: A Love Story,Romance,7.4,10000.0,149.0
Pati Patni Aur Woh Do,Romance,5.8,8900.0,117.0
Wishful Thinking,Romance,7.4,73.0,105.0
"Ha-Chan, Shake Your Booty!",Romance,7.2,134.0,122.0
O' Romeo,Romance,5.2,24000.0,178.0
Do Us Part,Romance,8.3,32.0,94.0
