Movie Name,Genre,Ratings,Voting Counts,Duration
Spider-Man: Brand New Day,Sci-Fi,8.0,268000.0,145.0
The End of Oak Street,Sci-Fi,6.6,31000.0,99.0
The Last House,Sci-Fi,5.5,50000.0,112.0
Project Hail Mary,Sci-Fi,8.2,524000.0,156.0
Backrooms,Sci-Fi,6.8,185000.0,126.0
Masters of the Universe,Sci-Fi,6.4,114000.0,140.0
The Dog Stars,Sci-Fi,6.5,2000.0,118.0
Disclosure Day,Sci-Fi,6.4,146000.0,145.0
Supergirl,Sci-Fi,5.8,86000.0,108.0
Colony,Sci-Fi,6.5,12000.0,122.0
Mortal Kombat II,Sci-Fi,6.3,86000.0,116.0
PAW Patrol: The Dino Movie,Sci-Fi,6.2,1700.0,88.0
Star Wars: The Mandalorian and Grogu,Sci-Fi,6.8,93000.0,132.0
Soulm8te,Sci-Fi,5.8,6100.0,99.0
Never After Dark,Sci-Fi,6.5,153.0,105.0
Leviticus,Sci-Fi,6.4,15000.0,88.0
War Machine,Sci-Fi,6.3,116000.0,106.0
Hope,Sci-Fi,6.9,1200.0,160.0
28 Years Later: The Bone Temple,Sci-Fi,7.2,124000.0,109.0
Cold Storage,Sci-Fi,6.0,28000.0,99.0
Hoppers,Sci-Fi,7.2,83000.0,104.0
Wicker,Sci-Fi,7.5,284.0,105.0
Mercy,Sci-Fi,6.2,80000.0,99.0
The Bride!,Sci-Fi,5.6,37000.0,126.0
Hot Spot,Sci-Fi,4.7,234.0,101.0
Master of the Universe,Sci-Fi,2.8,1500.0,81.0
Greenland 2: Migration,Sci-Fi,5.2,47000.0,98.0
Saccharine,Sci-Fi,5.9,4400.0,113.0
Legend of the White Dragon,Sci-Fi,,,97.0
Mike & Nick & Nick & Alice,Sci-Fi,6.2,26000.0,107.0
Dylavek,Sci-Fi,,,174.0
I Love Boosters,Sci-Fi,6.6,8300.0,113.0
Black Box,Sci-Fi,5.1,3300.0,85.0
Iron Lung,Sci-Fi,5.8,32000.0,125.0
Her Private Hell,Sci-Fi,4.5,2900.0,110.0
Breach,Sci-Fi,4.0,303.0,70.0
Beast Race,Sci-Fi,4.7,1200.0,124.0
Signal One,Sci-Fi,5.5,2500.0,87.0
The Outer Threat,Sci-Fi,4.6,939.0,94.0
In the Blink of an Eye,Sci-Fi,6.1,7600.0,94.0
Imposters,Sci-Fi,6.9,299.0,102.0
The Leader,Sci-Fi,8.0,76.0,104.0
Rogue Trooper,Sci-Fi,8.2,53.0,125.0
The Great Grand Superhero: Aliens Ka Aagman,Sci-Fi,6.9,2900.0,112.0
Hollow Trees,Sci-Fi,,,80.0
Rage of Stars,Sci-Fi,4.1,518.0,98.0
Clash of the Thundermans,Sci-Fi,8.9,55.0,
Sheep in the Box,Sci-Fi,6.1,617.0,126.0
Virus patoloske dobrote,Sci-Fi,8.8,21.0,99.0
The Unknown,Sci-Fi,6.3,210.0,139.0
Jim Queen,Sci-Fi,7.6,951.0,85.0
Chronovisor,Sci-Fi,6.8,47.0,99.0
"Ha-Chan, Shake Your Booty!",Sci-Fi,7.2,134.0,122.0
Night After Night,Sci-Fi,,,88.0
The Amazing Digital Circus: The Last Act,Sci-Fi,7.5,6200.0,95.0
Kill Code,Sci-Fi,4.0,3500.0,87.0
Shackled,Sci-Fi,5.8,74.0,84.0
Per Aspera Ad Astra,Sci-Fi,6.4,1300.0,111.0
Sanguine,Sci-Fi,6.0,109.0,103.0
Cosmic Princess Kaguya!,Sci-Fi,7.1,3200.0,143.0
Hell Grind,Sci-Fi,4.0,73.0,95.0
The Last Assassins,Sci-Fi,5.7,47.0,
Hive,Sci-Fi,4.7,1000.0,91.0
The End of It,Sci-Fi,6.2,55.0,102.0
DreamQuil,Sci-Fi,5.5,63.0,89.0
"Mum, I'm Alien Pregnant",Sci-Fi,6.9,175.0,95.0
Doraemon: Nobita and the New Castle of the Undersea Devil,Sci-Fi,6.2,194.0,102.0
Le vertige,Sci-Fi,6.0,348.0,67.0
Viper,Sci-Fi,6.7,59.0,87.0
Fing!,Sci-Fi,7.1,60.0,96.0
Serena,Sci-Fi,8.5,27.0,97.0
