Movie Name,Genre,Ratings,Voting Counts,Duration
The End of Oak Street,Thriller,6.6,31000.0,99.0
Mutiny,Thriller,5.7,11000.0,95.0
Insidious: Out of the Further,Thriller,6.2,8000.0,106.0
The Last House,Thriller,5.5,50000.0,112.0
Facing El Chapo,Thriller,6.7,3600.0,91.0
Teenage Sex and Death at Camp Miasma,Thriller,7.2,6600.0,112.0
Backrooms,Thriller,6.8,185000.0,126.0
The Dog Stars,Thriller,6.5,2000.0,118.0
Disclosure Day,Thriller,6.4,146000.0,145.0
Mother Mary,Thriller,5.4,9400.0,111.0
Toxic,Thriller,3.7,10000.0,192.0
Passenger,Thriller,5.5,19000.0,97.0
In the Grey,Thriller,6.3,38000.0,98.0
Awarapan 2,Thriller,6.6,12000.0,140.0
Shelter,Thriller,6.1,46000.0,107.0
Pressure,Thriller,7.3,24000.0,100.0
Colony,Thriller,6.5,12000.0,122.0
Hokum,Thriller,6.7,59000.0,107.0
The Whisper Man,Thriller,,,111.0
I Want Your Sex,Thriller,6.4,2300.0,90.0
Bury the Devil,Thriller,4.3,411.0,86.0
Pinocchio: Unstrung,Thriller,5.6,2300.0,82.0
Send Help,Thriller,6.7,151000.0,113.0
Khalifa,Thriller,6.8,7800.0,159.0
Apex,Thriller,6.1,107000.0,95.0
The Rip,Thriller,6.8,144000.0,113.0
Rosebush Pruning,Thriller,5.2,1500.0,97.0
Soulm8te,Thriller,5.8,6100.0,99.0
Never After Dark,Thriller,6.5,153.0,105.0
Crime 101,Thriller,6.8,94000.0,140.0
Leviticus,Thriller,6.4,15000.0,88.0
The Brink of War,Thriller,6.7,1300.0,117.0
The Devil's Mouth,Thriller,4.7,15000.0,106.0
War Machine,Thriller,6.3,116000.0,106.0
Over Your Dead Body,Thriller,6.3,32000.0,105.0
Irumudi,Thriller,7.5,1400.0,160.0
Hope,Thriller,6.9,1200.0,160.0
Ready or Not 2: Here I Come,Thriller,6.5,72000.0,108.0
Atlas King,Thriller,3.8,183.0,90.0
Ice Cream Man,Thriller,3.8,4100.0,86.0
Sleepwalker,Thriller,3.8,652.0,89.0
Is God Is,Thriller,6.5,6200.0,100.0
28 Years Later: The Bone Temple,Thriller,7.2,124000.0,109.0
Fall 2: Deadpoint,Thriller,7.7,80.0,97.0
Lucky Strike,Thriller,5.3,2100.0,103.0
